id,organization_id,entity_id,field_name,field_type,field_value_text,field_value_number,field_value_boolean,field_value_date,field_value_json,field_value_file_url,calculated_value,smart_code,smart_code_status,ai_confidence,ai_enhanced_value,ai_insights,validation_rules,validation_status,field_order,is_searchable,is_required,is_system_field,created_at,updated_at,created_by,updated_by,version
17c959ef-b5e8-4397-8ce3-833f8eea5016,378f24fb-d496-4ff7-8afa-ea34895a0eb8,d84c5cc0-0b15-44fb-9ba3-1f8791b36227,brand,text,,,,,,,null,HERA.SALON.PRODUCT.FIELD.BRAND.V1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-17 05:26:05.431929+00,2025-10-17 05:26:05.431929+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
e064f21f-d527-44be-a57f-8d70a423964d,378f24fb-d496-4ff7-8afa-ea34895a0eb8,d84c5cc0-0b15-44fb-9ba3-1f8791b36227,price,number,,,,,,,null,HERA.SALON.PRODUCT.FIELD.PRICE.V1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-17 05:26:05.431929+00,2025-10-17 05:26:05.431929+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
5ea7b308-4e76-4121-a958-c57769ffd8d8,378f24fb-d496-4ff7-8afa-ea34895a0eb8,d84c5cc0-0b15-44fb-9ba3-1f8791b36227,category,text,,,,,,,null,HERA.SALON.PRODUCT.FIELD.CATEGORY.V1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-17 05:26:05.431929+00,2025-10-17 05:26:05.431929+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
c97c5ff5-a3bb-4a9f-8ba5-4e6ab221c775,378f24fb-d496-4ff7-8afa-ea34895a0eb8,d84c5cc0-0b15-44fb-9ba3-1f8791b36227,description,text,,,,,,,null,HERA.SALON.PRODUCT.FIELD.DESCRIPTION.V1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-17 05:26:05.431929+00,2025-10-17 05:26:05.431929+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
bbdaf2c7-4721-4075-a86e-2f31d253fa7f,378f24fb-d496-4ff7-8afa-ea34895a0eb8,d84c5cc0-0b15-44fb-9ba3-1f8791b36227,stock_quantity,number,,,,,,,null,HERA.SALON.PRODUCT.FIELD.STOCK.V1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-17 05:26:05.431929+00,2025-10-17 05:26:05.431929+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
afa36acd-1a3a-4f4b-b81a-623a07cb58c0,378f24fb-d496-4ff7-8afa-ea34895a0eb8,f8da0bbd-00a3-44b2-9c6e-746bbf2ea0f1,reorder_level,text,10,,,,,,null,HERA.SALON.INV.DYN.REORDER.V1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-17 08:29:03.482025+00,2025-10-17 08:29:03.482025+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
868504b6-e74b-4348-a6bd-cdb0eaad3ffe,378f24fb-d496-4ff7-8afa-ea34895a0eb8,a73cb9ea-f7e4-468f-8591-1357f07eb1bf,quantity,text,0,,,,,,null,HERA.SALON.INV.DYN.QTY.V1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-17 08:29:05.821613+00,2025-10-17 08:29:05.821613+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
72e027ba-53e9-4039-af8e-05e65f3ff01c,378f24fb-d496-4ff7-8afa-ea34895a0eb8,a73cb9ea-f7e4-468f-8591-1357f07eb1bf,reorder_level,text,10,,,,,,null,HERA.SALON.INV.DYN.REORDER.V1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-17 08:29:05.821613+00,2025-10-17 08:29:05.821613+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
c6e6bdbd-6b1c-41af-802a-aef5a653604b,378f24fb-d496-4ff7-8afa-ea34895a0eb8,69a4e6a9-1e94-467a-a8b7-35667dce1c02,color,text,#ec4899,,,,,,,HERA.SALON.CATEGORY.DYN.COLOR.v1,DRAFT,0.0000,,"{""validation_errors"": {}}",{},valid,1,t,f,f,2025-10-18 10:25:59.456299+00,2025-10-18 12:21:09.511773+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,4
3b66e0b6-a8bb-47c7-a27d-d706b7032db7,378f24fb-d496-4ff7-8afa-ea34895a0eb8,9b3abb6e-1103-41df-be86-8eda2e468014,reorder_level,number,,,,,,,null,HERA.SALON.INV.DYN.REORDER.V1,DRAFT,0.0000,,"{""validation_errors"": {""missing_fields"": {""entity_id"": false, ""field_name"": false, ""smart_code"": false, ""organization_id"": false}}}",{},invalid,1,t,f,f,2025-10-17 13:06:20.521471+00,2025-10-17 13:06:20.521471+00,09b0b92a-d797-489e-bc03-5ca0a6272674,09b0b92a-d797-489e-bc03-5ca0a6272674,1
